token,dep_type,pos,immediate_head_text,immediate_head_pos,immediate_head_dep_type,higher_head_text,higher_head_pos,higher_head_dep_type,assosiate_phrase,assosiate_phrase_n
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
только,advmod,PART,заправки,NOUN,obl,заправки,NOUN,obl,после заправки,2.0
только,advmod,PART,тогда,ADV,advmod,Kachora,PROPN,ROOT,тогда,1.0
только,advmod,PART,%,SYM,obl,%,SYM,obl,"на 30 % , а не на все 100",9.0
только,advmod,PART,слезы,NOUN,nsubj,слезы,NOUN,nsubj,слезы,1.0
только,advmod,PART,те,DET,det,те,DET,det,те,1.0
только,advmod,PART,очень,ADV,advmod,парень,NOUN,conj,", а простой рабочий парень ( коих и в наши дни достаточно ) , очень уж приземленный",17.0
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
только,advmod,PART,вороной,ADJ,amod,конь,NOUN,conj,вороной конь,2.0
только,advmod,PART,этого,PRON,obl,этого,PRON,obl,для этого,2.0
только,advmod,PART,один,NUM,nummod,раз,NOUN,obl,один раз,2.0
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
только,advmod,PART,такой,DET,det,такой,DET,det,такой,1.0
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
только,advmod,PART,паре,NOUN,obl,паре,NOUN,obl,к четвертой паре,3.0
только,advmod,PART,позитивно,ADV,advmod,Смотрю,PROPN,ROOT,позитивно,1.0
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
только,advmod,PART,одному,NUM,nummod,человеку,NOUN,iobj,одному человеку,2.0
только,advmod,PART,позавчера,ADV,advmod,решил,VERB,ROOT,позавчера,1.0
только,advmod,PART,тебя,PRON,obl,тебя,PRON,obl,от тебя и от никого больше,6.0
только,advmod,PART,олений,ADJ,amod,язык,NOUN,nsubj,на копчёный олений язык,4.0
только,advmod,PART,надо,ADV,conj,надо,ADV,conj,"; надо , чтоб он был не ощипан , как голубь , а ободран , как кролик ”",18.0
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
только,advmod,PART,подмножества,NOUN,obl,подмножества,NOUN,obl,для специально выделенного подмножества языка,5.0
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
только,advmod,PART,ГВП,PROPN,obl,ГВП,PROPN,obl,в ГВП,2.0
только,advmod,PART,мозг,NOUN,conj,мозг,NOUN,conj,", а ― мой мозг",5.0
только,advmod,PART,одно,NUM,nummod,издание,NOUN,nsubj,"одно издание на русском языке , посвящённое этой теме",9.0
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
только,advmod,PART,повышенным,VERB,amod,расходом,NOUN,obl,повышенным расходом его в образующиеся ЦИК,6.0
только,advmod,PART,прибавила,VERB,conj,прибавила,VERB,conj,", прибавила шагу",3.0
только,advmod,PART,типа,NOUN,nmod,функция,NOUN,nsubj,"функция от типа встречи R ( исхода , в том числе и фатальности )",14.0
только,advmod,PART,нужную,ADJ,amod,информацию,NOUN,obj,нужную ему информацию,3.0
только,advmod,PART,случае,NOUN,obl,случае,NOUN,obl,"в том случае , если существует прямая угроза правам и свободам граждан",12.0
только,fixed,PART,не,PART,cc,не,PART,cc,не,1.0
